,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
0,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,22:08:00,COYOACAN,INSURGENTES CUICUILCO
16,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-01,02:00:00,TLALPAN,ARENAL PUERTA TEPEPAN
37,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-01,06:48:00,COYOACAN,DE LA CANDELARIA (PBLO)
47,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:40:00,TLALPAN,ISIDRO FABELA II (ORIENTE)
62,AMENAZAS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-14,12:00:00,MIGUEL HIDALGO,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES"
66,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-29,18:45:00,TLAHUAC,SANTIAGO TULYEHUALCO (PBLO)
68,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,10:30:00,AZCAPOTZALCO,EL ROSARIO C (U HAB)
78,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:30:00,IZTAPALAPA,GRANJAS ESTRELLA I
83,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,19:10:00,TLAHUAC,SAN PEDRO TLAHUAC (PBLO)
89,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:23:00,CUAUHTEMOC,DOCTORES I
100,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Abril,2022-04-08,12:00:00,IZTAPALAPA,LEYES DE REFORMA 1A SECCION
109,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,20:20:00,TLAHUAC,SAN PEDRO TLAHUAC (PBLO)
123,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,02:00:00,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO)
127,USURPACIÓN DE IDENTIDAD,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2018,Diciembre,2018-12-01,00:00:00,CUAUHTEMOC,ROMA NORTE II
133,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-01,12:03:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
146,ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,19:00:00,AZCAPOTZALCO,FERRERIA (U HAB)
154,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,16:00:00,CUAUHTEMOC,CUAUHTEMOC
156,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:13:00,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO)
158,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,15:59:00,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC II
171,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,16:40:00,COYOACAN,CHIMALISTAC
176,ROBO DE DOCUMENTOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2021,Mayo,2021-05-04,10:00:00,MIGUEL HIDALGO,ESCANDON II
200,USO DE DOCUMENTO FALSO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-06,12:00:00,CUAUHTEMOC,DOCTORES I
238,FALSEDAD ANTE AUTORIDADES,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-08,10:00:00,GUSTAVO A. MADERO,ZONA ESCOLAR II
269,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:23:00,MIGUEL HIDALGO,TACUBA
270,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Septiembre,2022-09-06,12:00:00,BENITO JUAREZ,DEL VALLE II
275,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,22:34:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
301,DAÑO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,02:25:00,GUSTAVO A. MADERO,SANTIAGO ATZACOALCO (PBLO)
305,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,21:00:00,CUAJIMALPA DE MORELOS,BOSQUES DE LAS LOMAS
308,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2022,Enero,2022-01-02,03:50:00,BENITO JUAREZ,DEL VALLE IV
335,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,06:10:00,CUAJIMALPA DE MORELOS,EL CONTADERO
336,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,13:00:00,IZTAPALAPA,ALVARO OBREGON
341,ROBO DE ANIMALES,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2022,Diciembre,2022-12-30,20:00:00,CUAUHTEMOC,CENTRO VI
344,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-17,21:00:00,AZCAPOTZALCO,EL JAGUEY-ESTACION PANTACO
357,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-29,23:00:00,IZTACALCO,CARLOS ZAPATA VELA
359,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,23:30:00,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS
382,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-20,14:30:00,CUAUHTEMOC,ROMA NORTE III
385,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-28,20:10:00,IZTACALCO,MILITAR MARTE
386,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-02,10:55:00,GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA
388,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,17:15:00,GUSTAVO A. MADERO,EL CARMEN
391,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Octubre,2022-10-16,20:34:00,ALVARO OBREGON,ALFALFAR
403,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,22:30:00,AZCAPOTZALCO,PATRIMONIO FAMILIAR
406,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:05:00,IZTAPALAPA,EL RETOO
411,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,17:48:00,AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB)
415,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:35:00,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS
421,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,07:20:00,LA MAGDALENA CONTRERAS,TIERRA UNIDA
423,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,16:25:00,BENITO JUAREZ,ALAMOS I
427,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:50:00,TLALPAN,PARAJE 38
431,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-09,18:11:00,ALVARO OBREGON,GUADALUPE INN
435,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,07:00:00,CUAUHTEMOC,ALGARIN
436,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,00:00:00,CUAJIMALPA DE MORELOS,PALO ALTO (GRANJAS)
449,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,17:30:00,AZCAPOTZALCO,NEXTENGO (BARR)
450,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-02,09:00:00,IZTAPALAPA,LEYES DE REFORMA 3A SECCION I
458,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,12:30:00,IZTACALCO,PANTITLAN V
